,time,rri,RRI
,16:01:59,1.4,1.4
,16:02:00,0,NaN
85,16:02:01,0,NaN
,16:02:02,0,NaN
,16:02:03,0,NaN
,16:02:04,0,NaN
,16:02:05,0,NaN
,16:02:06,0,NaN
84,16:02:07,0,NaN
,16:02:08,0,NaN
,16:02:09,1.383333333,1.383333333
,16:02:10,0,NaN
,16:02:11,0,NaN
,16:02:12,0,NaN
,16:02:13,0,NaN
,16:02:14,0,NaN
,16:02:15,0,NaN
,16:02:16,0,NaN
,16:02:17,0,NaN
,16:02:18,0,NaN
,16:02:19,0,NaN
,16:02:20,0,NaN
,16:02:21,0,NaN
,16:02:22,0,NaN
84,16:02:23,0,NaN
,16:02:24,1.4,1.4
,16:02:25,0,NaN
,16:02:26,0,NaN
,16:02:27,0,NaN
,16:02:28,0,NaN
,16:02:29,1.433333333,1.433333333
,16:02:30,0,NaN
,16:02:31,0,NaN
,16:02:32,0,NaN
,16:02:33,0,NaN
,16:02:34,1.433333333,1.433333333
,16:02:35,0,NaN
,16:02:36,0,NaN
,16:02:37,0,NaN
,16:02:38,0,NaN
84,16:02:39,0,NaN
,16:02:40,0,NaN
,16:02:41,0,NaN
,16:02:42,0,NaN
,16:02:43,0,NaN
,16:02:44,1.416666667,1.416666667
,16:02:45,0,NaN
,16:02:46,0,NaN
,16:02:47,0,NaN
,16:02:48,0,NaN
,16:02:49,0,NaN
85,16:02:50,0,NaN
,16:02:51,0,NaN
,16:02:52,0,NaN
,16:02:53,0,NaN
,16:02:54,0,NaN
,16:02:55,0,NaN
,16:02:56,0,NaN
,16:02:57,0,NaN
,16:02:58,0,NaN
,16:02:59,1.45,1.45
,16:03:00,0,NaN
,16:03:01,0,NaN
,16:03:02,0,NaN
,16:03:03,0,NaN
,16:03:04,1.5,1.5
,16:03:05,0,NaN
85,16:03:06,0,NaN
,16:03:07,0,NaN
,16:03:08,0,NaN
,16:03:09,1.466666667,1.466666667
,16:03:10,0,NaN
,16:03:11,0,NaN
84,16:03:12,0,NaN
,16:03:13,0,NaN
,16:03:14,1.483333333,1.483333333
,16:03:15,0,NaN
,16:03:16,0,NaN
,16:03:17,0,NaN
84,16:03:18,0,NaN
,16:03:19,1.5,1.5
,16:03:20,0,NaN
,16:03:21,0,NaN
,16:03:22,0,NaN
,16:03:23,0,NaN
,16:03:24,0,NaN
,16:03:25,0,NaN
,16:03:26,0,NaN
,16:03:27,0,NaN
,16:03:28,0,NaN
83,16:03:29,1.45,1.45
,16:03:30,0,NaN
,16:03:31,0,NaN
,16:03:32,0,NaN
,16:03:33,0,NaN
,16:03:34,1.433333333,1.433333333
